aboulic	a
abound	i
aboundingly	v
about-faced	v
about-facing	v
about-ship	v
about-shipped	i
about-shipping	i
aboveground	a
abox	a
abp	n
abpc	n
abr	n
abra	n
abrade	t
abrader	n
abraham	n
abrahams	n
abrahamsen	n
abrahan	n
abram	n
abramo	n
abrams	n
abramson	n
abran	n
abranchiate	a
abraser	n
abrasion	n
abraxas	n
abrazo	n
abrazos	n
abreact	t
abreaction	n
abri	n
abridgable	a
abridge	t
abridgeable	a
abridger	n
abridging	t
abridgment	n
abris	n
abroad	v
abrogable	a
abrogate	t
abrogated	t
abrogating	t
abrogation	n
abrogative	a
abrogator	n
abroms	n
abrupt	a
abruption	n
abruptly	v
abruptness	n
abruzzi	n
abs	n
absa	n
absalom	n
abscessed	a
abscind	t
abscise	v
abscised	i
abscising	i
abscissa	n
abscissae	n
abscissas	n
abscission	n
abscond	i
absconder	n
absecon	n
absence	n
absent-minded	a
absent-mindedness	n
absentation	n
absentee	n
absenteeism	n
absenter	n
absentia	n
absently	v
absentmindedly	v
absentness	n
abshier	n
absinthe	n
absinthial	a
absinthian	a
absinthism	n
absolute	n
absolutely	v
absoluteness	n
absolution	n
absolutism	n
absolutist	n
absolutistic	a
absolutistically	v
absolutory	a
absolvable	a
absolve	t
absolved	t
absolver	n
absolving	t
absonant	a
absorb	t
absorbability	n
absorbable	a
absorbance	n
absorbed	a
absorbedly	v
absorbedness	n
absorbency	n
absorber	n
absorbing	a
absorbingly	v
absorptance	n
absorptiometer	n
absorptiometric	a
absorption	n
absorptive	a
absorptiveness	n
absorptivity	n
absquatulate	i
abstain	i
abstainer	n
abstemious	a
abstemiously	v
abstemiousness	n
abstention	n
abstentious	a
absterge	t
absterged	t
abstergent	a
absterging	t
abstersion	n
abstersive	a
abstersiveness	n
abstinence	n
abstinent	a
abstinently	v
abstr	n
abstracted	a
abstractedly	v
abstractedness	n
abstracter	n
abstraction	n
abstractional	a
abstractionism	n
abstractive	a
abstractively	v
abstractiveness	n
abstractly	v
abstractness	n
abstriction	n
abstruse	a
abstrusely	v
abstruseness	n
abstrusity	n
absurd	a
absurdities	n
absurdity	n
absurdly	v
absurdness	n
absyrtus	n
abt	n
abu-bekr	n
abukir	n
abulfeda	n
abulia	n
abulic	a
abuna	n
abundance	n
abundant	a
abundantly	v
abura	n
abury	n
abus	n
abusable	a
abusage	n
abused	v
abuser	n
abusing	v
abusive	a
abusively	v
abusiveness	n
abut	v
abutilon	n
abutment	n
abuttal	n
abuttals	n
abutted	v
abutter	n
abuzz	a
abv	n
abvolt	n
abwatt	n
aby	v
abydos	n
abyla	n
abysm	n
abysmal	a
abysmally	v
abyss	n
abyssal	a
abyssinia	n
ac	n
ac-globulin	n
acaa	n
acacallis	n
acacia	n
acad	n
academe	n
academia	n
academically	v
academicals	n
academician	n
academicism	n
academies	n
academise	t
academised	t
academising	t
academism	n
academize	t
academized	t
academizing	t
academus	n
academy	n
acadia	n
acajou	n
acalculia	n
acaleph	n
acalia	n
acamas	n
acanthaceous	a
acanthine	a
acanthite	n
acanthocarpous	a
acanthocladous	a
acanthodian	n
acanthoid	a
acanthoses	n
acanthosis	n
acanthotic	a
acanthous	a
acanthus	n
acanthuses	n
acanthuthi	n
acapnia	n
acapnial	a
acappella	n
acapulco	n
acarari	n
acardia	n
acardiac	a
acariasis	n
acaricidal	a
acaricide	n
acarnan	n
acaroid	a
acarologist	n
acarology	n
acarophobia	n
acarpellous	a
acarpelous	a
acarpous	a
acarus	n
acastus	n
acaudal	a
acaulescence	n
acaulescent	a
acc	n
accad	n
accalia	n
acce	n
accede	i
acceded	i
accedence	n
acceder	n
acceding	i
accel	n
accelerable	a
accelerant	n
accelerated	v
acceleratedly	v
accelerating	v
acceleration	n
accelerative	a
accelerator	n
accelerometer	n
accentless	a
accentor	n
accentuable	a
accentual	a
accentuality	n
accentually	v
accentuate	t
accentuated	t
accentuating	t
accentuation	n
accentuator	n
acceptability	n
acceptable	a
acceptableness	n
acceptably	v
acceptance	n
acceptancies	n
acceptancy	n
acceptant	a
acceptation	n
accepted	a
acceptedly	v
acceptee	n
accepter	n
acceptor	n
accessaries	n
accessarily	v
accessariness	n
accessary	n
accessibility	n
accessible	a
accessibly	v
accessional	a
accessorial	a
accessories	n
accessorily	v
accessoriness	n
accessorius	n
accessoriusorii	n
accessorize	t
accessorized	t
accessorizing	t
acciaccatura	n
acciaccaturas	n
acciaccature	n
accidence	n
accident	n
accident-prone	a
accidentalism	n
accidentality	n
accidentally	v
accidentalness	n
accidie	n
accipiter	n
accipitral	a
accipitrine	a
accius	n
acclaimer	n
acclamation	n
acclamatory	a
acclimatable	a
acclimation	n
acclimatisable	a
acclimatisation	n
acclimatiser	n
acclimatizable	a
acclimatization	n
acclimatize	v
acclivities	n
acclivitous	a
acclivity	n
acclivous	a
accolade	n
accoladed	a
accolated	a
accommodable	a
accommodate	t
accommodated	v
accommodating	a
accommodatingly	v
accommodation	n
accommodational	a
accommodative	a
accommodativeness	n
accommodator	n
accompanied	t
accompanier	n
accompaniment	n
accompanist	n
accompanying	t
accompanyist	n
accomplice	n
accomplish	t
accomplishable	a
accomplished	a
accomplisher	n
accomplishment	n
accordable	a
accordance	n
accordant	a
accordantly	v
accordatura	n
accordature	n
accorder	n
according	a
accordingly	v
accordion	n
accordion pleats	n
